year_month,return_year_month,next_return_069500,next_return_114260,next_return_153130,alignment_rule
2022-05,2022-06,-0.128809,-0.012314,-0.000435,signal_month_t_to_return_month_t_plus_1
2022-06,2022-07,0.048907,0.019912,0.000967,signal_month_t_to_return_month_t_plus_1
2022-07,2022-08,-0.004786,-0.017325,0.000821,signal_month_t_to_return_month_t_plus_1
2022-08,2022-09,-0.122712,-0.01056,0.0014,signal_month_t_to_return_month_t_plus_1
2022-09,2022-10,0.066564,0.002442,0.001494,signal_month_t_to_return_month_t_plus_1
2022-10,2022-11,0.070416,0.019128,0.002792,signal_month_t_to_return_month_t_plus_1
2022-11,2022-12,-0.077319,-0.001505,0.002928,signal_month_t_to_return_month_t_plus_1
2022-12,2023-01,0.088956,0.014896,0.003924,signal_month_t_to_return_month_t_plus_1
2023-01,2023-02,-0.007775,-0.010397,0.001668,signal_month_t_to_return_month_t_plus_1
2023-02,2023-03,0.024604,0.019246,0.004901,signal_month_t_to_return_month_t_plus_1
2023-03,2023-04,0.011698,0.002425,0.002557,signal_month_t_to_return_month_t_plus_1
2023-04,2023-05,0.041226,-0.002074,0.001559,signal_month_t_to_return_month_t_plus_1
2023-05,2023-06,-0.000294,-0.004849,0.00283,signal_month_t_to_return_month_t_plus_1
2023-06,2023-07,0.015312,0.003915,0.002681,signal_month_t_to_return_month_t_plus_1
2023-07,2023-08,-0.026247,0.001993,0.003095,signal_month_t_to_return_month_t_plus_1
2023-08,2023-09,-0.020849,-0.003633,0.002712,signal_month_t_to_return_month_t_plus_1
2023-09,2023-10,-0.064364,-0.002865,0.002285,signal_month_t_to_return_month_t_plus_1
2023-10,2023-11,0.107469,0.018544,0.003768,signal_month_t_to_return_month_t_plus_1
2023-11,2023-12,0.065233,0.014446,0.003523,signal_month_t_to_return_month_t_plus_1
2023-12,2024-01,-0.062085,-0.000506,0.003233,signal_month_t_to_return_month_t_plus_1
2024-01,2024-02,0.059267,-0.000927,0.002348,signal_month_t_to_return_month_t_plus_1
2024-02,2024-03,0.059021,0.003882,0.002664,signal_month_t_to_return_month_t_plus_1
2024-03,2024-04,-0.022506,-0.003698,0.002519,signal_month_t_to_return_month_t_plus_1
2024-04,2024-05,-0.017462,0.005653,0.003016,signal_month_t_to_return_month_t_plus_1
2024-05,2024-06,0.070397,0.009815,0.002961,signal_month_t_to_return_month_t_plus_1
2024-06,2024-07,-0.006985,0.006895,0.003497,signal_month_t_to_return_month_t_plus_1
2024-07,2024-08,-0.047869,0.00429,0.002942,signal_month_t_to_return_month_t_plus_1
2024-08,2024-09,-0.043526,0.005094,0.003249,signal_month_t_to_return_month_t_plus_1
2024-09,2024-10,-0.014911,-0.002125,0.002474,signal_month_t_to_return_month_t_plus_1
2024-10,2024-11,-0.042394,0.011714,0.002737,signal_month_t_to_return_month_t_plus_1
2024-11,2024-12,-0.01777,-0.001619,0.002103,signal_month_t_to_return_month_t_plus_1
2024-12,2025-01,0.046618,0.005596,0.002724,signal_month_t_to_return_month_t_plus_1
2025-01,2025-02,0.010016,0.002097,0.002182,signal_month_t_to_return_month_t_plus_1
2025-02,2025-03,0.002516,0.00169,0.002089,signal_month_t_to_return_month_t_plus_1
2025-03,2025-04,0.014797,0.010284,0.003149,signal_month_t_to_return_month_t_plus_1
2025-04,2025-05,0.064977,-0.001034,0.001989,signal_month_t_to_return_month_t_plus_1
2025-05,2025-06,0.153846,-0.000239,0.001721,signal_month_t_to_return_month_t_plus_1
2025-06,2025-07,0.057604,0.00215,0.002246,signal_month_t_to_return_month_t_plus_1
2025-07,2025-08,-0.016505,0.002463,0.001972,signal_month_t_to_return_month_t_plus_1
2025-08,2025-09,0.102662,-0.003091,0.001408,signal_month_t_to_return_month_t_plus_1
2025-09,2025-10,0.223621,-0.00167,0.001577,signal_month_t_to_return_month_t_plus_1
2025-10,2025-11,-0.04291,-0.005734,0.001208,signal_month_t_to_return_month_t_plus_1
2025-11,2025-12,0.09425,-0.010412,0.002365,signal_month_t_to_return_month_t_plus_1
2025-12,2026-01,0.270815,-0.002833,0.001544,signal_month_t_to_return_month_t_plus_1
2026-01,2026-02,0.217515,0.006494,0.001942,signal_month_t_to_return_month_t_plus_1
2026-02,2026-03,-0.198576,-0.012016,0.001042,signal_month_t_to_return_month_t_plus_1
2026-03,2026-04,0.330365,0.001877,0.002261,signal_month_t_to_return_month_t_plus_1
2026-04,2026-05,0.349432,0.000326,0.001431,signal_month_t_to_return_month_t_plus_1
2026-05,2026-06,0.027816,0.00505,0.002025,signal_month_t_to_return_month_t_plus_1
2026-06,2026-07,,,,signal_month_t_to_return_month_t_plus_1
