_sample_part,year_month,return_year_month,hsi_state,state_kr,allocation_rule_name,weight_069500,weight_114260,weight_153130,turnover,macro_data_available,macro_risk_flag,macro_defense_addon,macro_companion_regime,gdp_data_available,rate_up_flag,fx_up_flag,base_weight_069500,base_weight_114260,base_weight_153130,macro_hsi_overlap_type,overlay_strength,macro_overlay_delta,_review_mark,_columns_to_check,_review_question,_my_interpretation
head,2013-01,2013-02,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.7000000000000001,0.2,0.1,0.0,0,0,0.0,macro_data_unavailable,0,,,0.7,0.2,0.1,macro_data_unavailable,0.0,0.0,,,,
head,2013-02,2013-03,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.7000000000000001,0.2,0.1,0.0,0,0,0.0,macro_data_unavailable,0,,,0.7,0.2,0.1,macro_data_unavailable,0.0,0.0,,,,
head,2013-03,2013-04,neutral_watch,중립 관찰,hsi_baseline_plus_macro_soft_overlay,0.5,0.35,0.15,0.1999999999999999,0,0,0.0,macro_data_unavailable,0,,,0.5,0.35,0.15,macro_data_unavailable,0.0,0.0,,,,
head,2013-04,2013-05,neutral_watch,중립 관찰,hsi_baseline_plus_macro_soft_overlay,0.5,0.35,0.15,0.0,0,0,0.0,macro_data_unavailable,0,,,0.5,0.35,0.15,macro_data_unavailable,0.0,0.0,,,,
head,2013-05,2013-06,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.7000000000000001,0.2,0.1,0.1999999999999999,0,0,0.0,macro_data_unavailable,0,,,0.7,0.2,0.1,macro_data_unavailable,0.0,0.0,,,,
head,2013-06,2013-07,accident_zone,강한 위험 구간,hsi_baseline_plus_macro_soft_overlay,0.0,0.3,0.7,0.7,0,0,0.0,macro_data_unavailable,0,,,0.0,0.3,0.7,macro_data_unavailable,0.0,0.0,,,,
head,2013-07,2013-08,neutral_watch,중립 관찰,hsi_baseline_plus_macro_soft_overlay,0.5,0.35,0.15,0.55,0,0,0.0,macro_data_unavailable,0,,,0.5,0.35,0.15,macro_data_unavailable,0.0,0.0,,,,
head,2013-08,2013-09,neutral_watch,중립 관찰,hsi_baseline_plus_macro_soft_overlay,0.5,0.35,0.15,0.0,0,0,0.0,macro_data_unavailable,0,,,0.5,0.35,0.15,macro_data_unavailable,0.0,0.0,,,,
head,2013-09,2013-10,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.7000000000000001,0.2,0.1,0.1999999999999999,0,0,0.0,macro_data_unavailable,0,,,0.7,0.2,0.1,macro_data_unavailable,0.0,0.0,,,,
head,2013-10,2013-11,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.7000000000000001,0.2,0.1,0.0,0,0,0.0,macro_data_unavailable,0,,,0.7,0.2,0.1,macro_data_unavailable,0.0,0.0,,,,
head,2013-11,2013-12,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.7000000000000001,0.2,0.1,0.0,0,0,0.0,macro_data_unavailable,0,,,0.7,0.2,0.1,macro_data_unavailable,0.0,0.0,,,,
head,2013-12,2014-01,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.7000000000000001,0.2,0.1,0.0,0,0,0.0,macro_data_unavailable,0,,,0.7,0.2,0.1,macro_data_unavailable,0.0,0.0,,,,
head,2014-01,2014-02,risk_warning,위험 악화 우세,hsi_baseline_plus_macro_soft_overlay,0.2,0.45,0.35,0.5,1,0,0.0,neutral,0,0.0,0.0,0.2,0.45,0.35,hsi_risk_only,0.0,0.0,,,,
head,2014-02,2014-03,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.7000000000000001,0.2,0.1,0.5,1,0,0.0,neutral,0,0.0,0.0,0.7,0.2,0.1,both_relief_or_neutral,0.0,0.0,,,,
head,2014-03,2014-04,neutral_watch,중립 관찰,hsi_baseline_plus_macro_soft_overlay,0.5,0.35,0.15,0.1999999999999999,1,0,0.0,neutral,0,1.0,1.0,0.5,0.35,0.15,both_relief_or_neutral,0.0,0.0,,,,
head,2014-04,2014-05,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.6975,0.20075,0.10175,0.1975,1,1,0.01,policy_growth_pressure,1,1.0,0.0,0.7,0.2,0.1,macro_risk_only,0.25,0.0025,,,,
head,2014-05,2014-06,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.7000000000000001,0.2,0.1,0.0025,1,0,0.0,neutral,1,0.0,0.0,0.7,0.2,0.1,both_relief_or_neutral,0.0,0.0,,,,
head,2014-06,2014-07,neutral_watch,중립 관찰,hsi_baseline_plus_macro_soft_overlay,0.5,0.35,0.15,0.1999999999999999,1,0,0.0,neutral,1,0.0,0.0,0.5,0.35,0.15,both_relief_or_neutral,0.0,0.0,,,,
head,2014-07,2014-08,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.7000000000000001,0.2,0.1,0.1999999999999999,1,0,0.0,neutral,1,0.0,1.0,0.7,0.2,0.1,both_relief_or_neutral,0.0,0.0,,,,
head,2014-08,2014-09,neutral_watch,중립 관찰,hsi_baseline_plus_macro_soft_overlay,0.5,0.35,0.15,0.1999999999999999,1,0,0.0,neutral,1,0.0,0.0,0.5,0.35,0.15,both_relief_or_neutral,0.0,0.0,,,,
head,2014-09,2014-10,accident_zone,강한 위험 구간,hsi_baseline_plus_macro_soft_overlay,0.0,0.3,0.7,0.55,1,0,0.0,neutral,1,0.0,1.0,0.0,0.3,0.7,hsi_risk_only,0.0,0.0,,,,
head,2014-10,2014-11,accident_zone,강한 위험 구간,hsi_baseline_plus_macro_soft_overlay,0.0,0.3,0.7,0.0,1,1,0.005,neutral,1,0.0,1.0,0.0,0.3,0.7,both_hsi_and_macro_risk,1.0,0.0,,,,
head,2014-11,2014-12,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.69875,0.200375,0.100875,0.69875,1,1,0.005,neutral,1,0.0,1.0,0.7,0.2,0.1,macro_risk_only,0.25,0.00125,,,,
head,2014-12,2015-01,risk_warning,위험 악화 우세,hsi_baseline_plus_macro_soft_overlay,0.19,0.453,0.357,0.50875,1,1,0.01,policy_growth_pressure,1,1.0,0.0,0.2,0.45,0.35,both_hsi_and_macro_risk,1.0,0.01,,,,
head,2015-01,2015-02,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.7000000000000001,0.2,0.1,0.51,1,0,0.0,neutral,1,0.0,0.0,0.7,0.2,0.1,both_relief_or_neutral,0.0,0.0,,,,
head,2015-02,2015-03,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.6975,0.20075,0.10175,0.0025,1,1,0.01,rate_fx_risk_departure,1,1.0,1.0,0.7,0.2,0.1,macro_risk_only,0.25,0.0025,,,,
head,2015-03,2015-04,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.7000000000000001,0.2,0.1,0.0025,1,0,0.0,neutral,1,0.0,1.0,0.7,0.2,0.1,both_relief_or_neutral,0.0,0.0,,,,
head,2015-04,2015-05,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.6975,0.20075,0.10175,0.0025,1,1,0.01,policy_growth_pressure,1,1.0,0.0,0.7,0.2,0.1,macro_risk_only,0.25,0.0025,,,,
head,2015-05,2015-06,risk_warning,위험 악화 우세,hsi_baseline_plus_macro_soft_overlay,0.195,0.4515,0.3535,0.5025,1,1,0.005,neutral,1,0.0,1.0,0.2,0.45,0.35,both_hsi_and_macro_risk,1.0,0.005,,,,
head,2015-06,2015-07,neutral_watch,중립 관찰,hsi_baseline_plus_macro_soft_overlay,0.4875,0.3537499999999999,0.15875,0.2925,1,1,0.025,risk_departure_plus_growth_pressure,1,1.0,1.0,0.5,0.35,0.15,macro_risk_only,0.5,0.0125,,,,
tail,2023-03,2023-04,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.7000000000000001,0.2,0.1,0.0025,1,0,0.0,rate_fx_relief_departure,1,0.0,0.0,0.7,0.2,0.1,both_relief_or_neutral,0.0,0.0,,,,
tail,2023-04,2023-05,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.69375,0.201875,0.104375,0.00625,1,1,0.025,risk_departure_plus_growth_pressure,1,1.0,1.0,0.7,0.2,0.1,macro_risk_only,0.25,0.00625,,,,
tail,2023-05,2023-06,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.6975,0.20075,0.10175,0.00375,1,1,0.01,policy_growth_pressure,1,1.0,0.0,0.7,0.2,0.1,macro_risk_only,0.25,0.0025,,,,
tail,2023-06,2023-07,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.6975,0.20075,0.10175,0.0,1,1,0.01,policy_growth_pressure,1,1.0,0.0,0.7,0.2,0.1,macro_risk_only,0.25,0.0025,,,,
tail,2023-07,2023-08,neutral_watch,중립 관찰,hsi_baseline_plus_macro_soft_overlay,0.5,0.35,0.15,0.1975,1,0,0.0,neutral,1,1.0,0.0,0.5,0.35,0.15,both_relief_or_neutral,0.0,0.0,,,,
tail,2023-08,2023-09,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.6975,0.20075,0.10175,0.1975,1,1,0.01,rate_fx_risk_departure,1,1.0,1.0,0.7,0.2,0.1,macro_risk_only,0.25,0.0025,,,,
tail,2023-09,2023-10,risk_warning,위험 악화 우세,hsi_baseline_plus_macro_soft_overlay,0.19,0.453,0.357,0.5075000000000001,1,1,0.01,rate_fx_risk_departure,1,1.0,1.0,0.2,0.45,0.35,both_hsi_and_macro_risk,1.0,0.01,,,,
tail,2023-10,2023-11,accident_zone,강한 위험 구간,hsi_baseline_plus_macro_soft_overlay,0.0,0.3,0.7,0.3429999999999999,1,1,0.025,risk_departure_plus_growth_pressure,1,1.0,1.0,0.0,0.3,0.7,both_hsi_and_macro_risk,1.0,0.0,,,,
tail,2023-11,2023-12,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.7000000000000001,0.2,0.1,0.7,1,0,0.0,rate_fx_relief_departure,1,0.0,0.0,0.7,0.2,0.1,both_relief_or_neutral,0.0,0.0,,,,
tail,2023-12,2024-01,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.69875,0.200375,0.100875,0.00125,1,1,0.005,neutral,1,0.0,1.0,0.7,0.2,0.1,macro_risk_only,0.25,0.00125,,,,
tail,2024-01,2024-02,risk_warning,위험 악화 우세,hsi_baseline_plus_macro_soft_overlay,0.19,0.453,0.357,0.50875,1,1,0.01,rate_fx_risk_departure,1,1.0,1.0,0.2,0.45,0.35,both_hsi_and_macro_risk,1.0,0.01,,,,
tail,2024-02,2024-03,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.7000000000000001,0.2,0.1,0.51,1,0,0.0,neutral,1,1.0,1.0,0.7,0.2,0.1,both_relief_or_neutral,0.0,0.0,,,,
tail,2024-03,2024-04,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.7000000000000001,0.2,0.1,0.0,1,0,0.0,neutral,1,0.0,1.0,0.7,0.2,0.1,both_relief_or_neutral,0.0,0.0,,,,
tail,2024-04,2024-05,risk_warning,위험 악화 우세,hsi_baseline_plus_macro_soft_overlay,0.175,0.4575,0.3675,0.5249999999999999,1,1,0.025,risk_departure_plus_growth_pressure,1,1.0,1.0,0.2,0.45,0.35,both_hsi_and_macro_risk,1.0,0.025,,,,
tail,2024-05,2024-06,risk_warning,위험 악화 우세,hsi_baseline_plus_macro_soft_overlay,0.2,0.45,0.35,0.025,1,0,0.0,rate_fx_relief_departure,1,0.0,0.0,0.2,0.45,0.35,hsi_risk_only,0.0,0.0,,,,
tail,2024-06,2024-07,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.69875,0.200375,0.100875,0.49875,1,1,0.005,neutral,1,0.0,1.0,0.7,0.2,0.1,macro_risk_only,0.25,0.00125,,,,
tail,2024-07,2024-08,neutral_watch,중립 관찰,hsi_baseline_plus_macro_soft_overlay,0.5,0.35,0.15,0.1987499999999999,1,0,0.0,rate_fx_relief_departure,1,0.0,0.0,0.5,0.35,0.15,both_relief_or_neutral,0.0,0.0,,,,
tail,2024-08,2024-09,accident_zone,강한 위험 구간,hsi_baseline_plus_macro_soft_overlay,0.0,0.3,0.7,0.55,1,0,0.0,rate_fx_relief_departure,1,0.0,0.0,0.0,0.3,0.7,hsi_risk_only,0.0,0.0,,,,
tail,2024-09,2024-10,accident_zone,강한 위험 구간,hsi_baseline_plus_macro_soft_overlay,0.0,0.3,0.7,0.0,1,0,0.0,rate_fx_relief_departure,1,0.0,0.0,0.0,0.3,0.7,hsi_risk_only,0.0,0.0,,,,
tail,2024-10,2024-11,accident_zone,강한 위험 구간,hsi_baseline_plus_macro_soft_overlay,0.0,0.3,0.7,0.0,1,1,0.025,risk_departure_plus_growth_pressure,1,1.0,1.0,0.0,0.3,0.7,both_hsi_and_macro_risk,1.0,0.0,,,,
tail,2024-11,2024-12,accident_zone,강한 위험 구간,hsi_baseline_plus_macro_soft_overlay,0.0,0.3,0.7,0.0,1,1,0.005,neutral,1,0.0,1.0,0.0,0.3,0.7,both_hsi_and_macro_risk,1.0,0.0,,,,
tail,2024-12,2025-01,accident_zone,강한 위험 구간,hsi_baseline_plus_macro_soft_overlay,0.0,0.3,0.7,0.0,1,1,0.005,neutral,1,0.0,1.0,0.0,0.3,0.7,both_hsi_and_macro_risk,1.0,0.0,,,,
tail,2025-01,2025-02,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.7000000000000001,0.2,0.1,0.7,1,0,0.0,rate_fx_relief_departure,1,0.0,0.0,0.7,0.2,0.1,both_relief_or_neutral,0.0,0.0,,,,
tail,2025-02,2025-03,neutral_watch,중립 관찰,hsi_baseline_plus_macro_soft_overlay,0.5,0.35,0.15,0.1999999999999999,1,0,0.0,neutral,1,0.0,1.0,0.5,0.35,0.15,both_relief_or_neutral,0.0,0.0,,,,
tail,2025-03,2025-04,neutral_watch,중립 관찰,hsi_baseline_plus_macro_soft_overlay,0.495,0.3515,0.1535,0.005,1,1,0.01,rate_fx_risk_departure,1,1.0,1.0,0.5,0.35,0.15,macro_risk_only,0.5,0.005,,,,
tail,2025-04,2025-05,neutral_watch,중립 관찰,hsi_baseline_plus_macro_soft_overlay,0.5,0.35,0.15,0.005,1,0,0.0,rate_fx_relief_departure,1,0.0,0.0,0.5,0.35,0.15,both_relief_or_neutral,0.0,0.0,,,,
tail,2025-05,2025-06,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.6975,0.20075,0.10175,0.1975,1,1,0.01,policy_growth_pressure,1,1.0,0.0,0.7,0.2,0.1,macro_risk_only,0.25,0.0025,,,,
tail,2025-06,2025-07,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.6975,0.20075,0.10175,0.0,1,1,0.01,policy_growth_pressure,1,1.0,0.0,0.7,0.2,0.1,macro_risk_only,0.25,0.0025,,,,
tail,2025-07,2025-08,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.6975,0.20075,0.10175,0.0,1,1,0.01,rate_fx_risk_departure,1,1.0,1.0,0.7,0.2,0.1,macro_risk_only,0.25,0.0025,,,,
tail,2025-08,2025-09,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.7000000000000001,0.2,0.1,0.0025,1,0,0.0,neutral,1,0.0,1.0,0.7,0.2,0.1,both_relief_or_neutral,0.0,0.0,,,,
tail,2025-09,2025-10,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.6975,0.20075,0.10175,0.0025,1,1,0.01,rate_fx_risk_departure,1,1.0,1.0,0.7,0.2,0.1,macro_risk_only,0.25,0.0025,,,,
tail,2025-10,2025-11,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.69375,0.201875,0.104375,0.00375,1,1,0.025,risk_departure_plus_growth_pressure,1,1.0,1.0,0.7,0.2,0.1,macro_risk_only,0.25,0.00625,,,,
tail,2025-11,2025-12,accident_zone,강한 위험 구간,hsi_baseline_plus_macro_soft_overlay,0.0,0.3,0.7,0.69375,1,1,0.025,risk_departure_plus_growth_pressure,1,1.0,1.0,0.0,0.3,0.7,both_hsi_and_macro_risk,1.0,0.0,,,,
tail,2025-12,2026-01,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.7000000000000001,0.2,0.1,0.7,1,0,0.0,rate_fx_relief_departure,1,0.0,0.0,0.7,0.2,0.1,both_relief_or_neutral,0.0,0.0,,,,
tail,2026-01,2026-02,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.7000000000000001,0.2,0.1,0.0,1,0,0.0,neutral,1,1.0,0.0,0.7,0.2,0.1,both_relief_or_neutral,0.0,0.0,,,,
tail,2026-02,2026-03,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.7000000000000001,0.2,0.1,0.0,1,0,0.0,rate_fx_relief_departure,1,0.0,0.0,0.7,0.2,0.1,both_relief_or_neutral,0.0,0.0,,,,
tail,2026-03,2026-04,accident_zone,강한 위험 구간,hsi_baseline_plus_macro_soft_overlay,0.0,0.3,0.7,0.7,1,1,0.01,rate_fx_risk_departure,1,1.0,1.0,0.0,0.3,0.7,both_hsi_and_macro_risk,1.0,0.0,,,,
tail,2026-04,2026-05,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.7000000000000001,0.2,0.1,0.7,1,0,0.0,neutral,0,1.0,0.0,0.7,0.2,0.1,both_relief_or_neutral,0.0,0.0,,,,
tail,2026-05,2026-06,risk_relief,위험 완화 우세,hsi_baseline_plus_macro_soft_overlay,0.6975,0.20075,0.10175,0.0025,1,1,0.01,rate_fx_risk_departure,0,1.0,1.0,0.7,0.2,0.1,macro_risk_only,0.25,0.0025,,,,
tail,2026-06,2026-07,conflict,신호 충돌,hsi_baseline_plus_macro_soft_overlay,0.345,0.4015,0.2535,0.3525,1,1,0.01,rate_fx_risk_departure,0,1.0,1.0,0.35,0.4,0.25,macro_risk_only,0.5,0.005,,,,
